step,w_exact,w_char,w_pattern,w_affix,w_length,difficulty_multiplier,contrib_exact,contrib_char,contrib_pattern,contrib_affix,exact_match_raw,char_overlap_raw,pattern_raw,affix_raw,length_penalty_raw,exact_match_norm,char_overlap_norm,pattern_norm,affix_norm,length_penalty_norm,composite_pre,composite_with_length,composite_with_difficulty,composite_predicted,reward_scalar,composite_diff,parse_success
0,0.4,0.2,0.15,0.1,0.15,1.2,0.0,0.07301587301587302,0.0,0.1,0.0,0.36507936507936506,0.0,1.0,1.0,0.0,0.36507936507936506,0.0,1.0,1.0,0.173015873015873,0.173015873015873,0.2076190476190476,0.2076190476190476,0.2076190476190476,0.0,1.0
1,0.4,0.2,0.15,0.1,0.15,1.0,0.0,0.08770885547201338,0.0,0.1,0.0,0.4385442773600668,0.0,1.0,1.0,0.0,0.4385442773600668,0.0,1.0,1.0,0.18770885547201338,0.18770885547201338,0.18770885547201338,0.18770885547201338,0.18770885547201338,0.0,1.0
2,0.4,0.2,0.15,0.1,0.15,1.0,0.0,0.041949152542372886,0.0,0.1,0.0,0.2097457627118644,0.0,1.0,1.0,0.0,0.2097457627118644,0.0,1.0,1.0,0.1419491525423729,0.1419491525423729,0.1419491525423729,0.1419491525423729,0.1419491525423729,0.0,1.0
3,0.4,0.2,0.15,0.1,0.15,1.0,0.0,0.08956383052492893,0.0,0.1,0.0,0.4478191526246446,0.0,1.0,1.0,0.0,0.4478191526246446,0.0,1.0,1.0,0.18956383052492892,0.18956383052492892,0.18956383052492892,0.18956383052492892,0.18956383052492892,0.0,1.0
4,0.4,0.2,0.15,0.1,0.15,1.0,0.0,0.07833081950729011,0.0,0.1,0.0,0.3916540975364505,0.0,1.0,1.0,0.0,0.3916540975364505,0.0,1.0,1.0,0.1783308195072901,0.1783308195072901,0.1783308195072901,0.1783308195072901,0.1783308195072901,0.0,1.0
5,0.4,0.2,0.15,0.1,0.15,1.0,0.0,0.04583333333333332,0.0,0.1,0.0,0.22916666666666663,0.0,1.0,1.0,0.0,0.22916666666666663,0.0,1.0,1.0,0.14583333333333331,0.14583333333333331,0.14583333333333331,0.14583333333333331,0.14583333333333331,0.0,1.0
6,0.4,0.2,0.15,0.1,0.15,1.0,0.1,0.14672501411631847,0.075,0.1,0.25,0.7336250705815923,0.5,1.0,1.0,0.25,0.7336250705815923,0.5,1.0,1.0,0.42172501411631846,0.42172501411631846,0.42172501411631846,0.42172501411631846,0.42172501411631846,0.0,1.0
7,0.4,0.2,0.15,0.1,0.15,1.0,0.0,0.062121212121212126,0.0,0.1,0.0,0.31060606060606055,0.0,1.0,1.0,0.0,0.31060606060606055,0.0,1.0,1.0,0.16212121212121214,0.16212121212121214,0.16212121212121214,0.16212121212121214,0.16212121212121214,0.0,1.0
8,0.4,0.2,0.15,0.1,0.15,1.1,0.0,0.06161319073083779,0.0,0.1,0.0,0.30806595365418893,0.0,1.0,1.0,0.0,0.30806595365418893,0.0,1.0,1.0,0.1616131907308378,0.1616131907308378,0.18024955436720141,0.18024955436720141,0.18024955436720141,0.0,1.0
9,0.4,0.2,0.15,0.1,0.15,1.0,0.0,0.09,0.0,0.1,0.0,0.44999999999999996,0.0,1.0,1.0,0.0,0.44999999999999996,0.0,1.0,1.0,0.19,0.19,0.19,0.19,0.19,0.0,1.0
